Source,title,description,url,image,date,keyword,article
https://www.reuters.com/,"China regulator says Tesla recalls more than 80,000 cars","Tesla Inc is recalling more than 80,000 China-made and imported cars produced from as early as 2013, for software and seat belt issues, a statement by the Chinese market regulator revealed on Friday.",https://www.reuters.com/business/autos-transportation/china-regulator-says-tesla-recalls-more-than-80000-cars-2022-11-25/,https://www.reuters.com/resizer/61lFhVLP_S21ZA5oYBTO0DGCkeQ=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/OGA6XQLHRNIPTONURYZJVIXAS4.jpg,2022-11-25,tesla,"BEIJING, Nov 25 (Reuters) - Tesla Inc is recalling more than 80,000 China-made and imported cars produced from as early as 2013, for software and seat belt issues, a statement by the Chinese market regulator revealed on Friday.
The U.S.-based electric car maker has recalled 67,698 Model S and Model X cars imported to China between Sept. 25, 2013 and Nov. 21, 2020, due to software problems affecting the battery management system in the vehicles.
Tesla said it will upgrade the software of recalled vehicles.
Tesla also recalled 2,736 imported Model 3 cars manufactured between January and November 2019, and 10,127 China-made ones of the same model produced between Oct. 14, 2019 and Sept. 26, 2022. This was due to potentially faulty seat belt installation which Tesla will check and reinstall, it said.
In April, Tesla recalled a total of 127,785 units of Model 3 cars in China, citing potential faults in semiconductor components that might lead to collisions. read more
Reporting by Beijing newsroom; Writing by Liz Lee; Editing by Clarence Fernandez and Stephen Coates
Our Standards: The Thomson Reuters Trust Principles."
https://www.reuters.com/,"Tesla's Full Self-Driving Beta now available to all in N. America, Musk says","Tesla Inc's Full Self-Driving Beta software is now available to everyone in North America, Elon Musk said early on Thursday, as the automaker awaits regulatory approval for its cars to be driven without human oversight.",https://www.reuters.com/business/autos-transportation/teslas-full-self-driving-beta-now-available-all-n-america-musk-says-2022-11-24/,https://www.reuters.com/resizer/4_N2xwqhcGv5007BZ37eTac6uPg=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/VDHVJHG7QVLPJHVLVZRFZX64ZI.jpg,2022-11-24,tesla,"Nov 24 (Reuters) - Tesla Inc's (TSLA.O) Full Self-Driving Beta software is now available to everyone in North America, Elon Musk said early on Thursday, as the automaker awaits regulatory approval for its cars to be driven without human oversight.
""Tesla Full Self-Driving Beta is now available to anyone in North America who requests it from the car screen, assuming you have bought this option,"" Musk tweeted.
Tesla did not respond to a request for comment.
Musk said last month that Tesla's advanced driver assistant software would not gain regulatory approval in 2022.
Musk hopes to provide an update to Full Self Driving (FSD) in 2023 to show regulators that the technology is much safer than the average human driver.
The Silicon Valley automaker sells a $15,000 FSD software add-on which enables its vehicles to change lanes and park autonomously. That complements its standard ""Autopilot"" feature, which enables cars to steer, accelerate and brake within their lanes without driver intervention.
Tesla, which has been criticized for testing its unfinished tech on public roads, is also under investigation by the U.S. Department of Justice over claims that the company's electric vehicles can drive themselves, Reuters reported in October.
Reporting by Gokul Pisharody and Maria Ponnezhath in Bengaluru; Editing by Kirsten Donovan
Our Standards: The Thomson Reuters Trust Principles."
https://www.reuters.com/,Russia revives Soviet-era Moskvich brand with Chinese model,"After a two-decade hiatus, Russia on Wednesday launched production of the Moskvich car brand at a plant near Moscow given up by the French carmaker Renault, with a new, modern Chinese design that barely resembles the Soviet-era classic.",https://www.reuters.com/business/autos-transportation/russia-relaunches-production-soviet-era-moskvich-ex-renault-plant-2022-11-23/,https://www.reuters.com/resizer/dSDn69HxE09nOtNCArqBb5UGe8A=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/XWUTEZRALNKX3CYITS2R2G4Z3U.jpg,2022-11-23,tesla,"Summary
Companies
This content was produced in Russia, where the law restricts coverage of Russian military operations in Ukraine
MOSCOW, Nov 23 (Reuters) - After a two-decade hiatus, Russia on Wednesday launched production of the Moskvich car brand at a plant near Moscow given up by the French carmaker Renault, with a new, modern Chinese design that barely resembles the Soviet-era classic.
While the last Moskvich (""Muscovite"") was a basic three-box saloon or pedestrian hatchback, the Moskvich 3 is a muscular-looking petrol-powered crossover hatchback with alloy wheels, LED slit-headlights and a large central touchscreen display.
In fact, the car looks identical to the Sehol X4 compact crossover made by China's JAC, also known as the JAC JS4.
Sources told Reuters that JAC's design, engineering and platform were being used, with parts being delivered from China, and the vehicles shown at the launch displayed numerous JAC stickers bearing part codes.
However, Maxim Klyushkin, the plant’s project manager, declined to confirm that the Chinese firm was Moskvich's partner.
""We have (Russian truck maker) Kamaz as an external partner and we have a long-distance partner we are working with,"" he said. ""We are not naming that partner.""
Klyushkin said the car would have an anti-lock braking system (ABS), one of the features that Russia's Avtovaz has been forced to remove from Lada models because of the Western trade sanctions imposed in response to Moscow's military campaign in Ukraine.
Renault (RENA.PA) sold its majority stake in Avtovaz in May to the Russian state for reportedly just one rouble, but with a six-year option to buy it back. It sold its plant, now renamed the Moscow Automobile Factory Moskvich, for another rouble.
[1/6] A view shows a car under the Soviet-era brand Moskvich during a ceremony marking the launch of the production at the Moscow Automobile Factory Moskvich in Moscow, Russia, November 23, 2022. REUTERS/Evgenia Novozhenina
12345
FALLING CAR SALES
With just 600 vehicles slated for production this year, the new car is unlikely to alter the gloomy outlook for the wider industry, whose annual sales could end the year below 1 million for the first time in Russia's modern history.
The government's ultimate target of producing 100,000 Moskvich vehicles a year, some of which will be electric, is far below the industry average for a car plant of 200,000-300,000. Tesla makes 22,000 cars a week at its Shanghai plant.
""The first Moskvich cars will come off the production line in December 2022,"" Kamaz (KMAZ.MM) said in a statement.
Western sanctions over Moscow's military campaign in Ukraine have not only hampered access to foreign-made components but also helped to drive out foreign manufacturers.
Kamaz and the government have established new supply chains, but not disclosed details.
""The task for the near future is to establish small-node assembly processes with the involvement of local suppliers by the end of 2023,"" Industry and Trade Minister Denis Manturov said in a statement.
The ministry said the launch of full-scale production would provide jobs for around 40,000 more people. The car goes on sale in Russia next month, it added, although the price has yet to be disclosed. President Vladimir Putin last week urged carmakers to keep prices down.
Reporting by Gleb Stolyarov and Alexander Marrow; Editing by Kevin Liffey and Emelia Sithole-Matarise
Our Standards: The Thomson Reuters Trust Principles."
https://www.reuters.com/,Wall Street rises as Fed signals slowdown in rate hikes,Wall Street's main indexes ended Wednesday with solid gains after the Federal Reserve's November meeting minutes showed interest rate hikes may slow soon.,https://www.reuters.com/markets/us/futures-flat-with-fed-minutes-focus-2022-11-23/,https://www.reuters.com/resizer/lX9hLvIZi1YSzL9LzIHtmseEXZg=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/N4W36ZRN4FISVHYBMN4VEMBQ7E.jpg,2022-11-23,tesla,"Summary
Companies
Growth stocks bounce as Treasury yields drop
Tesla jumps as Citigroup upgrades
Nordstrom falls on reduced profit forecast
Dow Jones Industrial closed at highest level since April
Dow up 0.28%, S&P 500 up 0.59%, Nasdaq up 0.99%
Nov 23 (Reuters) - Wall Street's main indexes ended Wednesday with solid gains after the Federal Reserve's November meeting minutes showed interest rate hikes may slow soon.
A ""substantial majority"" of policymakers agreed it would ""likely soon be appropriate"" to slow the pace of interest rate hikes, the minutes showed.
""What equity markets needed to see for the recent strength to continue was what we got from the minutes,"" said Michael James, managing director of equity trading at Wedbush Securities in Los Angeles.
Since the Fed's last meeting on Nov. 1-2, investors have been more optimistic that price pressures have started to ease, meaning smaller rate hikes could curtail inflation.
The Dow Jones Industrial Average (.DJI) rose 95.96 points, or 0.28%, to 34,194.06, the S&P 500 (.SPX) gained 23.68 points, or 0.59%, at 4,027.26 and the Nasdaq Composite (.IXIC) added 110.91 points, or 0.99%, at 11,285.32.
Trading volume was thin ahead of the Thanksgiving holiday on Thursday, with the U.S. stock market open for a half-session on Friday.
Earlier on Wednesday, a mixed bag of economic data led to a drop in yield on the benchmark 10-year Treasury note , helping drive stocks up.
The number of Americans filing new claims for unemployment benefits rose more than expected last week and U.S. business activity contracted for a fifth straight month in November. Consumer sentiment ticked higher and home sales rose above expectations. read more
Traders work on the floor of the New York Stock Exchange (NYSE) in New York City, U.S., November 22, 2022. REUTERS/Brendan McDermid/File Photo
""What I think you're seeing is renewed investor enthusiasm fueled by those who see that beautiful light at the end of what has been a very dark tunnel. And there has been so much money on the sidelines that is rushing back into the markets and waiting to get back into the action,"" said portfolio manager Moez Kassam of Anson Funds.
Heavyweight stocks, including Amazon.com Inc (AMZN.O) and Meta Platforms Inc (META.O), rose 1.00% and 0.72%, respectively.
Tesla Inc (TSLA.O) jumped 7.82% with Citigroup upgrading the electric-vehicle maker's stock to ""neutral"" from a ""sell"" rating.
Deere & Co (DE.N) soared 5.03% after the farm equipment maker reported a higher-than-expected quarterly profit.
Nordstrom Inc fell 4.24% as the fashion retailer cut its profit forecast amid steep markdowns to attract inflation-wary customers.
Volume on U.S. exchanges was 9.25 billion shares, compared with the 11.6 billion average for the full session over the last 20 trading days.
Advancing issues outnumbered decliners on the NYSE by a 1.97-to-1 ratio; on Nasdaq, a 1.61-to-1 ratio favored advancers.
The S&P 500 posted 21 new 52-week highs and no new lows, while the Nasdaq Composite recorded 97 new highs and 126 new lows.
Reporting by Carolina Mandl, Shreyashi Sanyal and Ankika Biswas; Editing by Richard Chang, Rosalba O'Brien and Chris Reese
Our Standards: The Thomson Reuters Trust Principles."
https://www.reuters.com/,Elon Musk names S. Korea among top candidates for EV investment - Yoon's office,"Tesla chief executive Elon Musk said on Wednesday that South Korea was among its top candidate locations for a factory it plans to build in Asia for making electric vehicles (EVs), according to South Korea's presidential office.",https://www.reuters.com/business/autos-transportation/elon-musk-names-s-korea-among-top-candidates-ev-investment-yoons-office-2022-11-23/,https://www.reuters.com/resizer/0GtEfttgC4KuH-E13eZYfgy7wY8=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/2ECTOFRNXZJ6LEFHYEP6BKCQNE.jpg,2022-11-23,tesla,"SEOUL, Nov 23 (Reuters) - Tesla (TSLA.O) chief executive Elon Musk said on Wednesday that South Korea was among its top candidate locations for a factory it plans to build in Asia for making electric vehicles (EVs), according to South Korea's presidential office.
Musk had made the remark in a video call with President Yoon Suk-yeol, adding that the company planned to step up cooperation with South Korea on supply chains, Yoon's office said.
As Yoon was aware of Tesla's plans to build a factory in Asia in the future, his office said, Yoon asked Musk to build the factory in South Korea.
In response, Musk said he considered South Korea to be one of the top candidates and would make the decision after reviewing investment conditions in other countries, including labour quality, technology level and production infrastructure.
Tesla was not immediately available for comment outside U.S. business hours when contacted by Reuters.
""We expect to buy components worth more than $10 billion from South Korean firms in 2023 as we significantly expand supply chain cooperation with South Korean companies,"" Yoon's office quoted Musk as saying.
The contact between Yoon and Musk comes ahead of a criminal trial about to begin in South Korea that hangs on questions about the safety of Tesla cars, at a time when the EV maker faces a range of lawsuits and increased scrutiny by regulators.
Yoon said in the discussion he would reform unreasonable regulations that hindered investment by global tech companies, according to Yoon's office. The president added that the government would continue its effort to attract investment from high-tech companies to enhance the country's competitiveness.
Indonesia, India and other government are already lobbying to win Tesla's next investment in EV production.
In August, Indonesian President Joko Widodo urged Tesla to make EVs in the country. The president and senior government officials held meetings earlier this year with Musk, during which they said they had asked him to consider the Southeast Asian country as a car manufacturing hub, on top of making batteries.
South Korea's LG Energy Solution Ltd (373220.KS) supplies Tesla with batteries, as do Japan's Panasonic Corp Holding (6752.T) and China's Contemporary Amperex Technology Co (300750.SZ).
Analysts said Tesla could work closely with such South Korean suppliers as Samsung Electronics Co Ltd (005930.KS) and LG Innotek Co Ltd (011070.KS) if it built the factory in the country.
Reporting by Soo-hyang Choi and Heekyong Yang; Editing by Muralikumar Anantharaman and Bradley Perrett
Our Standards: The Thomson Reuters Trust Principles."
https://www.reuters.com/,LG Chem to invest over $3 billion to build U.S. battery cathode plant,"South Korea's LG Chem Ltd said on Tuesday it will invest more than $3 billion to build a battery cathode factory in Tennessee, as it ramps up plans to meet rising demand for U.S. electric vehicle components.",https://www.reuters.com/business/lg-chem-invest-more-than-3-bln-build-battery-cathode-plant-us-2022-11-21/,https://www.reuters.com/resizer/F2peZE91PM92FOFTdgdmgVJGQrI=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/VVG3T6JZTJPHJDIUH677BMW76U.jpg,2022-11-21,tesla,"SEOUL, Nov 22 (Reuters) - South Korea's LG Chem Ltd (051910.KS) said on Tuesday it will invest more than $3 billion to build a battery cathode factory in Tennessee, as it ramps up plans to meet rising demand for U.S. electric vehicle components.
It's one of the first major EV-related investments announced by a South Korean firm in the United States since a new U.S. law was passed in August that puts automakers and battery suppliers relying heavily on China for sourcing at a cost disadvantage.
Mass production is set to start in the second half of 2025 and the plant will create more than 850 jobs, LG Chem said in a statement.
The plant is slated to have an annual production capacity of 120,000 tonnes of cathode materials by 2027, enough to power about 1.2 million electric vehicles, it added.
Its shares climbed 1.9% on the news, outperforming a 0.3% decline for the broader market (.KS11).
LG Chem added that it is also pursuing cooperation with mining firms and recycling companies to better support its customers so that requirements of the new law, the Inflation Reduction Act, can be met.
LG Chem is expected to supply cathode materials to Ultium Cells, a battery joint venture between General Motors (GM.N) and LG Chem's subsidiary LG Energy Solution Ltd (LGES) (373220.KS).
LGES, which supplies batteries to Tesla Inc (TSLA.O), Ford Motor Co (F.N) and Hyundai Motor Co (005380.KS) among others, last month raised its 2022 revenue outlook to 25 trillion won ($18.4 billion) from 22 trillion, citing new projects from automakers.
LG Chem's new plant will make cathodes for batteries with a nickel, cobalt, manganese and aluminum (NCMA) chemistry. The NCMA battery, which is about 90% nickel, allows manufacturers to reduce their reliance on expensive cobalt, and reduce their exposure to refining and processing in China.
China currently has 75% of the world's cobalt refining capacity and 50% of the lithium processing capacity, according to Benchmark Mineral Intelligence.
GM has said it will use NCMA battery cathodes from LG Chem for a range of EVs using Ultium-branded batteries.
The Inflation Reduction Act will, among other measures, require from next year that at least 40% of the monetary value of critical minerals for batteries be from the United States or an American free-trade partner in order to qualify for U.S. tax credits. That share will rise to 80% in 2027.
Automakers such as Hyundai Motor (005380.KS) and Kia Corp (000270.KS) have been hit hard by the new law, which immediately ended credits for about 70% of the 72 car models that were previously eligible for EV subsidies.
At this month's G20 summit, South Korean President Yoon Suk-yeol asked U.S. President Joe Biden to prevent discriminatory measures against South Korean companies, his office said.
It added Biden had replied that the implementation of the law should account for the contribution of South Korean investment in the U.S. economy.
($1 = 1,358.1800 won)
Reporting by Heekyong Yang; Editing by Muralikumar Anantharaman and Edwina Gibbs
Our Standards: The Thomson Reuters Trust Principles."
https://www.reuters.com/,Carl Icahn holds short position in GameStop - Bloomberg News,"Activist investor Carl Icahn has a sizeable short position in video game retailer GameStop Corp , Bloomberg News reported on Monday, citing sources familiar with the matter.",https://www.reuters.com/business/carl-icahn-holds-short-position-gamestop-bloomberg-news-2022-11-21/,https://www.reuters.com/resizer/-IWn21l6_PuT9r3Mr2ed_Iy8g5c=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/FLPXNGNCTJKMZE7LT3BFVXJLSQ.jpg,2022-11-21,tesla,"Nov 21 (Reuters) - Activist investor Carl Icahn has a sizeable short position in video game retailer GameStop Corp (GME.N), Bloomberg News reported on Monday, citing sources familiar with the matter.
GameStop, which is among the so-called ""meme stocks"", was popular among retail investors during the pandemic in what came to be known as the ""short squeeze"".
Short-sellers borrow shares and sell them, seeking to profit by returning them after buying the stock back at a lower price.
Icahn began shorting the stock around January 2021, the report added but did not provide details of the size of Icahn's position.
The stock, which has lost nearly a third of its value so far this year, fell about 9% on Monday.
Short interest in GameStop's stock is very high, with 17.53% of the company's outstanding shares shorted as of Oct. 31, according to Refinitiv data. In comparison, short interests in Apple Inc (AAPL.O), the world's largest public company, and Tesla Inc (TSLA.O), the world's most valuable auto maker, are 0.65% and is 2.43%, respectively, according to Refinitiv data.
In September, GameStop announced a partnership with Sam Bankman-Fried's FTX US to increase its presence in the cryptocurrency space even as analysts said the partnership was ""unlikely to yield meaningful revenue or profit"".
Earlier this month, FTX filed for bankruptcy protection in the U.S. in the biggest crypto industry blow up till date.
The retailer executed a four-for-one stock split this year, the stock rose a split-adjusted high of over $120 in Jan. 2021.
Icahn Enterprises did not immediately respond to a Reuters request for comment.
Reporting by Akash Sriram and Manya Saini in Bengaluru; Editing by Krishna Chandra Eluri
Our Standards: The Thomson Reuters Trust Principles."
https://www.reuters.com/,Wall Street slips as concerns rise of stricter China COVID curbs,Investors fear China could resume stricter measures to fight COVID after it said it faces its most severe test of the pandemic.,https://www.reuters.com/markets/us/futures-decline-china-covid-cases-rise-disney-jumps-2022-11-21/,https://www.reuters.com/resizer/3oI6AU1_6DeYEYJv5r2j6g0rYwI=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/UUHEVK64AJNOHHEGUYOAYZQFN4.jpg,2022-11-21,tesla,"Summary
Companies
Dow down 0.13%, S&P 500 down 0.39%, Nasdaq down 1.09%
Disney jumps on Iger's return as CEO
Grindr falls after rocketing in debut
Tesla down on vehicle recall, China COVID concerns
Nov 21 (Reuters) - Wall Street's main indexes ended Monday roughly down on fears that China could resume stricter measures to fight COVID-19 after it said it faces its most severe test of the pandemic.
Beijing said on Monday it would shut businesses and schools in hard-hit districts and tighten rules for entering the city, as infections ticked higher.
""There is this fear that China might reinstitute some of the COVID restrictions that they've just purportedly started to lift,"" said Carol Schleif, deputy chief investment officer at BMO Family Office.
U.S. casino operators with businesses in China including Wynn Resorts Ltd (WYNN.O), Las Vegas Sands Corp (LVS.N), MGM Resorts International (MGM.N) and Melco Resorts & Entertainment Ltd all fell at least 2%.
The Dow Jones Industrial Average (.DJI) fell 45.41 points, or 0.13%, to 33,700.28, the S&P 500 (.SPX) lost 15.4 points, or 0.39%, to 3,949.94 and the Nasdaq Composite (.IXIC) dropped 121.55 points, or 1.09%, to 11,024.51.
Trading volume was low on Monday, and likely to lessen towards the Thanksgiving holiday on Thursday, leaving markets more prone to volatility.
Volume on U.S. exchanges was 9.43 billion shares, compared with the 11.88 billion average for the full session over the last 20 trading days.
""If you want to blame a little bit of profit taking on some concerns on spikes in COVID cases, that's fine,"" said Jack Janasiewicz, lead portfolio strategist and portfolio manager at Natixis Investment Managers Solutions. ""It gets really tricky because of volume.""
Stocks trimmed losses in early afternoon after the San Francisco Federal Reserve President Mary Daly commented that officials need to be careful to avoid a ""painful downturn.""
[1/2] Traders work on the floor of the New York Stock Exchange (NYSE) in New York City, U.S., November 21, 2022. REUTERS/Brendan McDermid
12
Cleveland Fed President Loretta Mester echoed Daly, saying she supports a smaller rate hike in December.
The S&P 500 energy sector index (.SPNY) fell almost 3% on Monday to its lowest level in four weeks as oil prices tumbled more than 5% after a report that Saudi Arabia and other OPEC oil producers were discussing an output increase. The index, however, pared losses after Saudi Arabia denied talks about it.
Energy was the only major S&P 500 sector eying gains for the year, surging around 63%.
Walt Disney Co (DIS.N) jumped 6.30% after Bob Iger's return as chief executive to the entertainment giant.
The S&P 500 extended its fall from the previous week when multiple Federal Reserve officials reiterated the central bank's pledge to raise rates until inflation was in check, as investors now await the release of minutes from the Fed's November meeting on Wednesday.
Traders are widely betting on a 50-basis point hike in the December meeting, with a peak for rates expected in June.
